Date,IA,U14D
7/1/2020,8.47,3985
7/2/2020,8.74,4112
7/3/2020,8.76,4120
7/6/2020,9.82,4618
7/7/2020,10.01,4706
7/8/2020,9.89,4653
7/9/2020,10.32,4852
7/10/2020,11.47,5396
7/13/2020,13.9,6535
7/14/2020,14.79,6955
7/15/2020,15.7,7381
7/16/2020,17.68,8313
7/17/2020,19.64,9234
7/20/2020,27.39,12879
7/21/2020,29.42,13836
7/22/2020,30.88,14520
7/23/2020,34.9,16410
7/24/2020,37.94,17842
7/27/2020,47.05,22125
7/28/2020,49.22,23147
7/29/2020,51.11,24034
7/30/2020,54.05,25419
7/31/2020,57.46,27020
8/3/2020,62.94,29598
8/4/2020,71.4,33579
8/5/2020,72.23,33965
8/6/2020,75.29,35407
8/7/2020,79.82,37537
8/10/2020,90.56,42589
8/11/2020,94.6,44489
8/12/2020,96.82,45532
8/13/2020,104.7,49249
8/14/2020,109.3,51385
8/17/2020,125.8,59162
8/18/2020,131.1,61662
8/19/2020,136.02,63965
8/20/2020,142.27,66905
8/21/2020,149.8,70420